base12_phase,state,value,n,low_data,marker
1,calm bull,0.0,20,false,
1,manic / unstable rally,0.0,4,true,LOW_DATA
1,panic / crisis,0.0,8,true,LOW_DATA
1,quiet bearish / exhaustion,0.0,7,true,LOW_DATA
1,indeterminate-state,NA,0,true,LOW_DATA
2,calm bull,0.0,19,true,LOW_DATA
2,manic / unstable rally,0.0,3,true,LOW_DATA
2,panic / crisis,0.0,22,false,
2,quiet bearish / exhaustion,0.0,8,true,LOW_DATA
2,indeterminate-state,NA,0,true,LOW_DATA
3,calm bull,0.0,29,false,
3,manic / unstable rally,0.0,2,true,LOW_DATA
3,panic / crisis,0.0,15,true,LOW_DATA
3,quiet bearish / exhaustion,0.0,22,false,
3,indeterminate-state,NA,0,true,LOW_DATA
4,calm bull,0.0,19,true,LOW_DATA
4,manic / unstable rally,0.0,5,true,LOW_DATA
4,panic / crisis,0.0,11,true,LOW_DATA
4,quiet bearish / exhaustion,0.0,15,true,LOW_DATA
4,indeterminate-state,NA,0,true,LOW_DATA
5,calm bull,0.0,13,true,LOW_DATA
5,manic / unstable rally,0.0,3,true,LOW_DATA
5,panic / crisis,0.0,10,true,LOW_DATA
5,quiet bearish / exhaustion,0.0,6,true,LOW_DATA
5,indeterminate-state,NA,0,true,LOW_DATA
6,calm bull,0.0,18,true,LOW_DATA
6,manic / unstable rally,0.0,1,true,LOW_DATA
6,panic / crisis,0.0,18,true,LOW_DATA
6,quiet bearish / exhaustion,0.0,7,true,LOW_DATA
6,indeterminate-state,NA,0,true,LOW_DATA
7,calm bull,0.0,19,true,LOW_DATA
7,manic / unstable rally,0.0,1,true,LOW_DATA
7,panic / crisis,0.0,27,false,
7,quiet bearish / exhaustion,0.0,30,false,
7,indeterminate-state,NA,0,true,LOW_DATA
8,calm bull,0.0,9,true,LOW_DATA
8,manic / unstable rally,0.0,2,true,LOW_DATA
8,panic / crisis,0.0,25,false,
8,quiet bearish / exhaustion,0.0,8,true,LOW_DATA
8,indeterminate-state,NA,0,true,LOW_DATA
9,calm bull,0.0,18,true,LOW_DATA
9,manic / unstable rally,0.0,5,true,LOW_DATA
9,panic / crisis,0.0,5,true,LOW_DATA
9,quiet bearish / exhaustion,0.0,2,true,LOW_DATA
9,indeterminate-state,NA,0,true,LOW_DATA
10,calm bull,0.0,19,true,LOW_DATA
10,manic / unstable rally,0.0,4,true,LOW_DATA
10,panic / crisis,0.0,5,true,LOW_DATA
10,quiet bearish / exhaustion,0.0,2,true,LOW_DATA
10,indeterminate-state,NA,0,true,LOW_DATA
11,calm bull,0.0,14,true,LOW_DATA
11,manic / unstable rally,0.0,2,true,LOW_DATA
11,panic / crisis,0.0,10,true,LOW_DATA
11,quiet bearish / exhaustion,0.0,10,true,LOW_DATA
11,indeterminate-state,NA,0,true,LOW_DATA
12,calm bull,0.0,20,false,
12,manic / unstable rally,0.0,5,true,LOW_DATA
12,panic / crisis,0.0,15,true,LOW_DATA
12,quiet bearish / exhaustion,0.0,7,true,LOW_DATA
12,indeterminate-state,NA,0,true,LOW_DATA
