civil_date,total_row_count,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,t0_file_status,expected_contributing_files_count,available_contributing_files_count,coverage_quality_flag,coverage_completeness,represented_only,documented_exception_label
2013-04-01,28747,26577,175,445,151,1399,0,0,present,6,5,left_truncated_2013_edge,0.8333333333333334,False,
2013-04-02,36460,33850,337,493,264,1483,0,33,present,6,6,full,1.0,False,
2013-04-03,42638,39765,266,457,245,1871,0,34,present,6,6,full,1.0,False,
2013-04-04,39929,38088,190,378,102,1110,0,61,present,6,6,full,1.0,False,
2013-04-05,37941,36167,175,290,164,1086,0,59,present,6,6,full,1.0,False,
2013-04-06,23589,21760,323,203,308,958,0,37,present,6,6,full,1.0,False,
2013-04-07,28077,25373,220,369,474,1613,0,28,present,6,6,full,1.0,False,
2013-04-08,39693,37312,353,417,325,1233,0,53,present,6,6,full,1.0,False,
2013-04-09,42828,39897,366,345,265,1906,0,49,present,6,6,full,1.0,False,
2013-04-10,44514,40992,413,457,379,2213,0,60,present,6,6,full,1.0,False,
2013-04-11,42298,39728,240,415,172,1704,0,39,present,6,6,full,1.0,False,
2013-04-12,36719,35066,187,308,187,909,0,62,present,6,6,full,1.0,False,
2013-04-13,24289,22900,126,173,286,771,0,33,present,6,6,full,1.0,False,
2013-04-14,23263,20872,232,267,319,1512,0,61,present,6,6,full,1.0,False,
2013-04-15,37615,34963,283,450,273,1546,0,100,present,6,6,full,1.0,False,
2013-04-16,33142,30520,279,493,238,1577,0,35,present,6,6,full,1.0,False,
2013-04-17,36419,33526,309,347,252,1906,0,79,present,6,6,full,1.0,False,
2013-04-18,36104,33848,213,319,185,1498,0,41,present,6,6,full,1.0,False,
2013-04-19,29649,28056,141,262,180,945,0,65,present,6,6,full,1.0,False,
2013-04-20,19332,17745,146,240,315,857,0,29,present,6,6,full,1.0,False,
2013-04-21,22999,20735,307,225,376,1302,0,54,present,6,6,full,1.0,False,
2013-04-22,36286,33478,336,432,316,1690,0,34,present,6,6,full,1.0,False,
2013-04-23,41017,38338,284,418,286,1611,0,80,present,6,6,full,1.0,False,
2013-04-24,36031,34040,329,324,228,1048,0,62,present,6,6,full,1.0,False,
2013-04-25,41157,38824,234,336,195,1501,0,67,present,6,6,full,1.0,False,
2013-04-26,35214,33725,175,310,182,751,0,71,present,6,6,full,1.0,False,
2013-04-27,23178,21819,106,187,206,831,0,29,present,6,6,full,1.0,False,
2013-04-28,22697,20527,195,211,225,1520,0,19,present,6,6,full,1.0,False,
2013-04-29,38220,35579,270,365,236,1740,0,30,present,6,6,full,1.0,False,
2013-04-30,39362,36738,257,342,207,1737,0,81,present,6,6,full,1.0,False,
2013-05-01,33500,30938,186,359,195,1758,0,64,present,6,6,full,1.0,False,
2013-05-02,39005,36759,258,355,111,1485,0,37,present,6,6,full,1.0,False,
2013-05-03,35003,33513,195,345,146,760,0,44,present,6,6,full,1.0,False,
2013-05-04,22851,21191,215,227,299,887,0,32,present,6,6,full,1.0,False,
2013-05-05,25949,23465,299,347,281,1500,0,57,present,6,6,full,1.0,False,
2013-05-06,39362,36694,289,552,319,1491,0,17,present,6,6,full,1.0,False,
2013-05-07,44535,41568,449,584,389,1502,0,43,present,6,6,full,1.0,False,
2013-05-08,43112,40481,335,402,301,1512,0,81,present,6,6,full,1.0,False,
2013-05-09,39676,37472,252,321,192,1399,0,40,present,6,6,full,1.0,False,
2013-05-10,35895,34258,155,468,189,797,0,28,present,6,6,full,1.0,False,
2013-05-11,21746,20267,164,195,297,779,0,44,present,6,6,full,1.0,False,
2013-05-12,24395,21895,259,348,412,1453,0,28,present,6,6,full,1.0,False,
2013-05-13,37361,34546,317,456,354,1637,0,51,present,6,6,full,1.0,False,
2013-05-14,39932,36563,313,447,851,1656,0,102,present,6,6,full,1.0,False,
2013-05-15,41766,38881,228,434,683,1464,0,76,present,6,6,full,1.0,False,
2013-05-16,38734,36453,232,326,359,1300,0,64,present,6,6,full,1.0,False,
2013-05-17,35122,33294,162,370,352,906,0,38,present,6,6,full,1.0,False,
2013-05-18,22053,20280,216,176,545,788,0,48,present,6,6,full,1.0,False,
2013-05-19,25312,22624,270,363,493,1540,0,22,present,6,6,full,1.0,False,
2013-05-20,39034,36085,303,532,367,1705,0,42,present,6,6,full,1.0,False,
2013-05-21,42517,39276,365,465,638,1721,0,52,present,6,6,full,1.0,False,
2013-05-22,45522,41995,413,608,799,1574,0,133,present,6,6,full,1.0,False,
