civil_date,represented_only,documented_exception_label,is_known_substrate_gap,terminal_status,coverage_quality_flag,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,total_row_count,log1p_total_row_count,log1p_rows_from_offset_0,log1p_rows_from_offset_minus_1,log1p_rows_from_offset_minus_7,log1p_rows_from_offset_minus_30,log1p_rows_from_offset_minus_365,log1p_rows_from_offset_minus_3650,log1p_rows_from_offset_plus_1,offset_count_present_count,offset_count_zero_count,has_any_missing_offset_count,coverage_completeness,offset_0_share_of_total,share_offset_minus_1,share_offset_minus_7,share_offset_minus_30,share_offset_minus_365,share_offset_minus_3650,share_offset_plus_1,neighbor_offset_sum,neighbor_offset_share_of_total,nonzero_offset_count,roll_mean_total_w7,roll_mean_total_w14,roll_mean_total_w30,roll_std_total_w7,roll_std_total_w14,roll_std_total_w30,roll_mean_log1p_total_w7,roll_mean_log1p_total_w14,roll_mean_log1p_total_w30,roll_std_log1p_total_w7,roll_std_log1p_total_w14,roll_std_log1p_total_w30,roll_z_log1p_total_w7,roll_z_log1p_total_w14,roll_z_log1p_total_w30,roll_pct_log1p_total_w30,roll_pct_log1p_total_w90,roll_pct_log1p_total_w365,delta_log1p_total_dod,roll_mean_offset_0_share_w30,roll_std_offset_0_share_w30,roll_z_offset_0_share_w30,spike_w7_z_ge_2,spike_w7_z_ge_3,spike_w14_z_ge_2,spike_w14_z_ge_3,spike_w30_z_ge_2,spike_w30_z_ge_3,is_domain_start_edge,is_rolling_window_warmup,has_full_7d_history,has_full_30d_history,has_full_365d_history
2013-04-01,false,,false,raw_t0_present,left_truncated_2013_edge,26577,175,445,151,1399,0,0,28747,10.266323478588333,10.187839084891452,5.170483995038151,6.100318952020064,5.0238805208462765,7.24422751560335,0.0,0.0,5,2,true,0.8333333333333334,0.9245138623160678,0.006087591748704213,0.015479876160990712,0.005252722023167635,0.04866594775106968,0.0,0.0,2170,0.07548613768393224,5,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,true,false,false,false
2013-04-02,false,,false,raw_t0_present,full,33850,337,493,264,1483,0,33,36460,10.503998475174141,10.42972382000155,5.823045895483019,6.202535517187923,5.579729825986222,7.302496423727326,0.0,3.5263605246161616,6,1,true,1.0,0.9284147010422381,0.009243006034009875,0.013521667580910586,0.0072408118486012064,0.04067471201316511,0.0,0.0009051014810751508,2610,0.07158529895776193,6,,,,,,,,,,,,,,,,,,,0.23767499658580782,,,,false,false,false,false,false,false,true,true,false,false,false
2013-04-03,false,,false,raw_t0_present,full,39765,266,457,245,1871,0,34,42638,10.66052460640712,10.590767554818026,5.58724865840025,6.126869184114185,5.5053315359323625,7.534762657037537,0.0,3.5553480614894135,6,1,true,1.0,0.9326187907500352,0.0062385665368919745,0.010718138749472302,0.005746048126084713,0.043881045077161215,0.0,0.0007974107603546133,2873,0.06738120924996482,6,,,,,,,,,,,,,,,,,,,0.15652613123297954,,,,false,false,false,false,false,false,true,true,false,false,false
2013-04-04,false,,false,raw_t0_present,full,38088,190,378,102,1110,0,61,39929,10.594883200057266,10.547680805518146,5.25227342804663,5.937536205082426,4.634728988229636,7.01301578963963,0.0,4.127134385045092,6,1,true,1.0,0.9538931603596383,0.004758446242079692,0.009466803576348017,0.0025545342983796238,0.02779934383530767,0.0,0.0015277116882466378,1841,0.04610683964036164,6,,,,,,,,,,,,,,,,,,,-0.06564140634985449,,,,false,false,false,false,false,false,true,true,false,false,false
2013-04-05,false,,false,raw_t0_present,full,36167,175,290,164,1086,0,59,37941,10.54381395691249,10.495930028974442,5.170483995038151,5.673323267171493,5.10594547390058,6.99117688712121,0.0,4.0943445622221,6,1,true,1.0,0.953243193379194,0.004612424553912654,0.007643446403626683,0.0043225007248095726,0.028623388945995098,0.0,0.0015550459924619803,1774,0.04675680662080599,6,,,,,,,,,,,,,,,,,,,-0.051069243144775456,,,,false,false,false,false,false,false,true,true,false,false,false
2013-04-06,false,,false,raw_t0_present,full,21760,323,203,308,958,0,37,23589,10.06857817240172,9.987874655796293,5.780743515792329,5.318119993844216,5.733341276897746,6.8658910748834385,0.0,3.6375861597263857,6,1,true,1.0,0.9224638602738564,0.013692822925940058,0.008605706049429819,0.013056933316376277,0.040612149730806735,0.0,0.0015685277035906566,1829,0.07753613972614354,6,,,,,,,,,,,,,,,,,,,-0.47523578451077064,,,,false,false,false,false,false,false,true,true,false,false,false
2013-04-07,false,,false,raw_t0_present,full,25373,220,369,474,1613,0,28,28077,10.242741630531896,10.141480306700544,5.3981627015177525,5.91350300563827,6.163314804034641,7.3864708488298945,0.0,3.367295829986474,6,1,true,1.0,0.9036934145385903,0.007835594970972682,0.013142429746767817,0.016882145528368416,0.05744915767354062,0.0,0.0009972575417601596,2704,0.09630658546140969,6,33911.57142857143,,,7098.841310550684,,,10.411551931438996,,,0.21941459020265552,,,-0.7693667989498066,,,,,,0.17416345813017564,,,,false,false,false,false,false,false,true,true,true,false,false
2013-04-08,false,,false,raw_t0_present,full,37312,353,417,325,1233,0,53,39693,10.588955321752204,10.527097070380183,5.869296913133774,6.035481432524756,5.786897381366708,7.1180162044653335,0.0,3.9889840465642745,6,1,true,1.0,0.9400146121482377,0.00889325573778752,0.01050563071574333,0.008187841684931852,0.03106341168467992,0.0,0.001335248028619656,2381,0.05998538785176227,6,35475.28571428572,,,6976.113882725963,,,10.45764219474812,,,0.21770279707921694,,,0.6031761133335479,,,,,,0.3462136912203082,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-09,false,,false,raw_t0_present,full,39897,366,345,265,1906,0,49,42828,10.664970722216369,10.594081476308356,5.905361848054571,5.846438775057725,5.583496308781699,7.553286605600419,0.0,3.912023005428146,6,1,true,1.0,0.9315634631549453,0.008545811151583076,0.0080554777248529,0.006187540861118894,0.04450359577846269,0.0,0.0011441113290370786,2931,0.06843653684505464,6,36385.0,,,7519.936546718108,,,10.480638230039867,,,0.23148129414343974,,,0.7963170106621151,,,,,,0.07601540046416488,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-10,false,,false,raw_t0_present,full,40992,413,457,379,2213,0,60,44514,10.703581490007771,10.621156599402811,6.025865973825314,6.126869184114185,5.940171252720432,7.7025561132685825,0.0,4.110873864173311,6,1,true,1.0,0.9208788246394393,0.00927797996136047,0.010266433032304444,0.008514175315631037,0.049714696499977534,0.0,0.0013478905512872355,3522,0.07912117536056072,6,36653.0,,,7807.843684398401,,,10.486789213411388,,,0.2375504451049812,,,0.9126157456811984,,,,,,0.03861076779140227,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-11,false,,false,raw_t0_present,full,39728,240,415,172,1704,0,39,42298,10.652518724092985,10.589836678595073,5.484796933490655,6.030685260261263,5.153291594497779,7.4413203897176174,0.0,3.6888794541139363,6,1,true,1.0,0.9392406260343279,0.005674027140763156,0.009811338597569625,0.004066386117546929,0.040285592699418414,0.0,0.000922029410374013,2570,0.06075937396567214,6,36991.42857142857,,,8021.9142532013075,,,10.495022859702203,,,0.24286096641923696,,,0.6485021727159972,,,,,,-0.05106276591478576,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-12,false,,false,raw_t0_present,full,35066,187,308,187,909,0,62,36719,10.511076844734427,10.46501579627588,5.236441962829949,5.733341276897746,5.236441962829949,6.813444599510896,0.0,4.143134726391533,6,1,true,1.0,0.9549824341621503,0.0050927312835316865,0.008388027996405131,0.0050927312835316865,0.02475557613224761,0.0,0.0016884991421335003,1653,0.04501756583784961,6,36816.857142857145,,,8011.094961126754,,,10.490346129391053,,,0.24207875808096113,,,0.08563624296370945,,,,,,-0.1414418793585579,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-13,false,,false,raw_t0_present,full,22900,126,173,286,771,0,33,24289,10.097820021996219,10.038935856711177,4.844187086458591,5.159055299214529,5.659482215759621,6.648984550024776,0.0,3.5263605246161616,6,1,true,1.0,0.9428136193338549,0.005187533451356581,0.007122565770513401,0.011774877516571287,0.031742764214253365,0.0,0.0013586397134505333,1389,0.05718638066614517,6,36916.857142857145,,,7820.558961876733,,,10.494523536475981,,,0.2336946479982072,,,-1.6975293096263193,,,,,,-0.41325682273820874,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-14,false,,false,raw_t0_present,full,20872,232,267,319,1512,0,61,23263,10.054662380333246,9.946211736745907,5.4510384535657,5.5909869805108565,5.768320995793772,7.321849713788356,0.0,4.127134385045092,6,1,true,1.0,0.8972187594033444,0.00997291836822422,0.011477453466878734,0.0137127627563083,0.06499591626187508,0.0,0.002622189743369299,2391,0.10278124059665564,6,36229.142857142855,35070.357142857145,,8868.868199655306,7810.748054465057,,10.467655072161888,10.439603501800445,,0.2746844974749028,0.24060540336624575,,-1.5035165640040373,-1.5998856055665849,,,,,-0.043157641662972424,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-15,false,,false,raw_t0_present,full,34963,283,450,273,1546,0,100,37615,10.535184770779852,10.462074239700378,5.648974238161206,6.111467339502679,5.6131281063880705,7.344072850573066,0.0,4.61512051684126,6,1,true,1.0,0.9294962116177057,0.007523594310780274,0.011963312508307856,0.007257742921706766,0.04110062475076432,0.0,0.002658513890735079,2652,0.07050378838229429,6,35932.28571428572,35703.78571428572,,8767.804394759381,7615.643436410967,,10.459973564880125,10.458807879814122,,0.2714599140708627,0.2364039860923006,,0.27706192333094753,0.323077847494116,,,,,0.4805223904466054,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-16,false,,false,raw_t0_present,full,30520,279,493,238,1577,0,35,33142,10.408586811928672,10.326170250261358,5.634789603169249,6.202535517187923,5.476463551931511,7.363913501405819,0.0,3.58351893845611,6,1,true,1.0,0.920885884979784,0.008418321163478366,0.014875384708225213,0.007181220203970792,0.04758312714984008,0.0,0.0010560617947015872,2622,0.07911411502021604,6,34548.57142857143,35466.78571428572,,8247.004766522668,7641.882794367965,,10.423347291981882,10.451992761010873,,0.2560498930814714,0.23637628155363466,,-0.057646890125878036,-0.18363072977079647,,,,,-0.12659795885118008,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-17,false,,false,raw_t0_present,full,33526,309,347,252,1906,0,79,36419,10.502873353281599,10.420106363342882,5.736572297479192,5.8522024797744745,5.53338948872752,7.553286605600419,0.0,4.382026634673881,6,1,true,1.0,0.9205634421593124,0.008484582223564623,0.009527993629698783,0.006919465114363382,0.05233531947609764,0.0,0.0021691973969631237,2893,0.07943655784068755,6,33392.142857142855,35022.57142857143,,7105.232495106956,7368.836007802733,,10.394674701021,10.440731957216192,,0.22927699872205543,0.22932790238343553,,0.4719123717759608,0.2709718068301452,,,,,0.09428654135292724,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-18,false,,false,raw_t0_present,full,33848,213,319,185,1498,0,41,36104,10.494186638885282,10.429664735806556,5.365976015021851,5.768320995793772,5.225746673713202,7.312553498102598,0.0,3.7376696182833684,6,1,true,1.0,0.9375138488810104,0.0058996233104365164,0.00883558608464436,0.005124085973853313,0.041491247507201415,0.0,0.0011356082428539774,2256,0.062486151118989586,6,32507.285714285714,34749.357142857145,,6130.049557012453,7242.758055275128,,10.372055831705612,10.433539345703908,,0.20625447294453716,0.22567117920829108,,0.592136526476741,0.26874186324606925,,,,,-0.008686714396317186,,,,false,false,false,false,false,false,false,true,true,false,false
