market_date,symbol,open,high,low,close,adj_close,volume,source_vendor,source_retrieved_at_utc,source_timezone,source_calendar
2013-04-01,SPY,156.58999633789062,156.91000366210938,155.6699981689453,156.0500030517578,124.79827117919922,99194100,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-02,SPY,156.61000061035156,157.2100067138672,156.3699951171875,156.82000732421875,125.4140853881836,101504300,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-03,SPY,156.91000366210938,157.02999877929688,154.82000732421875,155.22999572753906,124.14251708984375,154167400,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-04,SPY,155.42999267578125,156.1699981689453,155.08999633789062,155.86000061035156,124.64633178710938,131885000,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-05,SPY,153.9499969482422,155.35000610351562,153.77000427246094,155.16000366210938,124.08654022216797,159666000,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-08,SPY,155.27000427246094,156.22000122070312,154.75,156.2100067138672,124.92626953125,86571200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-09,SPY,156.5,157.32000732421875,155.97999572753906,156.75,125.35804748535156,101922200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-10,SPY,157.1699981689453,158.8699951171875,157.1300048828125,158.6699981689453,126.89354705810547,135711100,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-11,SPY,158.6999969482422,159.7100067138672,158.5399932861328,159.19000244140625,127.30941772460938,110142500,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-12,SPY,158.67999267578125,159.0399932861328,157.9199981689453,158.8000030517578,126.99755096435547,116359900,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-15,SPY,158.0,158.1300048828125,155.10000610351562,155.1199951171875,124.05450439453125,217259000,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-16,SPY,156.2899932861328,157.49000549316406,155.91000366210938,157.41000366210938,125.88593292236328,147507800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-17,SPY,156.2899932861328,156.32000732421875,154.27999877929688,155.11000061035156,124.04651641845703,226834800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-18,SPY,155.3699951171875,155.41000366210938,153.5500030517578,154.13999938964844,123.27075958251953,167583200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-19,SPY,154.5,155.5500030517578,154.1199951171875,155.47999572753906,124.34245300292969,149687600,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-22,SPY,155.77999877929688,156.5399932861328,154.75,156.1699981689453,124.89427947998047,106553500,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-23,SPY,156.9499969482422,157.92999267578125,156.1699981689453,157.77999877929688,126.18183898925781,166141300,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-24,SPY,157.8300018310547,158.3000030517578,157.5399932861328,157.8800048828125,126.26177978515625,96781200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-25,SPY,158.33999633789062,159.27000427246094,158.10000610351562,158.52000427246094,126.77361297607422,131060600,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-26,SPY,158.3300018310547,158.60000610351562,157.72999572753906,158.24000549316406,126.5496597290039,95918800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-29,SPY,158.6699981689453,159.64999389648438,158.4199981689453,159.3000030517578,127.39741516113281,88572800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-04-30,SPY,159.27000427246094,159.72000122070312,158.61000061035156,159.67999267578125,127.70128631591797,116010700,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-01,SPY,159.3300018310547,159.41000366210938,158.10000610351562,158.27999877929688,126.58164978027344,138874200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-02,SPY,158.67999267578125,159.88999938964844,158.52999877929688,159.75,127.7573013305664,96407600,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-03,SPY,161.13999938964844,161.8800048828125,159.77999877929688,161.3699951171875,129.0528564453125,144202300,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-06,SPY,161.49000549316406,162.00999450683594,161.4199981689453,161.77999877929688,129.38070678710938,66882100,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-07,SPY,162.1300048828125,162.64999389648438,161.6699981689453,162.60000610351562,130.03648376464844,90359200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-08,SPY,162.4199981689453,163.38999938964844,162.3300018310547,163.33999633789062,130.6283416748047,97419200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-09,SPY,163.27000427246094,163.6999969482422,162.47000122070312,162.8800048828125,130.26039123535156,106738600,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-10,SPY,162.99000549316406,163.5500030517578,162.50999450683594,163.41000366210938,130.68431091308594,103203000,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-13,SPY,163.1999969482422,163.80999755859375,162.82000732421875,163.5399932861328,130.7882843017578,81843200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-14,SPY,163.6699981689453,165.35000610351562,163.6699981689453,165.22999572753906,132.1398162841797,119000900,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-15,SPY,164.9600067138672,166.4499969482422,164.91000366210938,166.1199951171875,132.85157775878906,120718500,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-16,SPY,165.77999877929688,166.36000061035156,165.08999633789062,165.33999633789062,132.227783203125,109913600,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-17,SPY,165.9499969482422,167.0399932861328,165.72999572753906,166.94000244140625,133.50743103027344,129801000,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-20,SPY,166.77999877929688,167.5800018310547,166.61000061035156,166.92999267578125,133.49935913085938,85071200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-21,SPY,167.0800018310547,167.8000030517578,166.5,167.1699981689453,133.69131469726562,95804200,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-22,SPY,167.33999633789062,169.07000732421875,165.1699981689453,165.92999267578125,132.6996612548828,244031800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-23,SPY,164.16000366210938,165.91000366210938,163.94000244140625,165.4499969482422,132.31576538085938,211064400,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-24,SPY,164.47000122070312,165.3800048828125,163.97999572753906,165.30999755859375,132.20382690429688,151573900,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-28,SPY,167.0399932861328,167.77999877929688,165.80999755859375,166.3000030517578,132.9955291748047,143679800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-29,SPY,165.4199981689453,165.8000030517578,164.33999633789062,165.22000122070312,132.13182067871094,160363400,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-30,SPY,165.35000610351562,166.58999633789062,165.22000122070312,165.8300018310547,132.6196746826172,107793800,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-05-31,SPY,165.3699951171875,166.30999755859375,163.1300048828125,163.4499969482422,130.71627807617188,176850100,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
2013-06-03,SPY,163.8300018310547,164.4600067138672,162.66000366210938,164.35000610351562,131.43605041503906,168390700,yahoo_finance_via_yfinance,2026-05-31T22:45:18Z,America/New_York,XNYS
